model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
tcn_gpu_stage3,naive_threshold,valid,0.65,False,44,640,69.22785894362494,-58.698527009459845,127.92638595308478,10.261963689458328,-0.091716448452281,-0.8479032560758588,-115.3920213964916
tcn_gpu_stage3,naive_threshold,valid,0.7,False,18,85,12.024540932007216,-4.967381370898325,16.99192230290554,1.336801669705273,-0.0584397808340979,-0.4131036185902139,-21.201253413363183
tcn_gpu_stage3,naive_threshold,valid,0.75,False,5,9,1.2944248969569636,-0.5047851141825279,1.799210011139491,0.1385547242016626,-0.0560872349091697,-0.3899686380949692,-3.07028138894373
tcn_gpu_stage3,naive_threshold,valid,0.8,False,1,1,-0.1598328270714702,-0.3598168562465048,0.1999840291750346,0.015945909481799,-0.3598168562465048,,0.0
tcn_gpu_stage3,naive_threshold,valid,0.85,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
tcn_gpu_stage3,naive_threshold,valid,0.9,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
tcn_gpu_stage3,naive_threshold,valid,0.95,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
tcn_gpu_stage3,cost_aware_threshold,valid,0.0,False,59,26639,1603.4099272267254,-3722.989062514401,5326.398989741127,427.4835433479668,-0.1397570878229063,-2.321919678365546,-3722.6094990198008
tcn_gpu_stage3,cost_aware_threshold,valid,9.126723e-06,False,58,14223,809.1231941931146,-2034.6812201891623,2843.804414382277,227.66437821387183,-0.1430556999359602,-2.514674198924944,-2035.0578583972865
tcn_gpu_stage3,cost_aware_threshold,valid,1.191053e-05,False,58,11615,656.6489383263647,-1665.6467557755618,2322.2956941019265,185.80283960571305,-0.1434048003250591,-2.536586383617527,-1667.015981691212
tcn_gpu_stage3,cost_aware_threshold,valid,1.5520751e-05,False,58,8938,485.37817005502313,-1301.6982609737022,1787.0764310287257,142.9061453846679,-0.14563641317674,-2.68182283687406,-1303.5551448867172
tcn_gpu_stage3,cost_aware_threshold,valid,2.0468738e-05,False,58,6185,325.1474754794043,-911.4388849122992,1236.5863603917037,98.77057376109592,-0.1473627946503313,-2.803155348410608,-911.6261197398348
tcn_gpu_stage3,cost_aware_threshold,valid,2.8638361e-05,False,58,3313,176.87623892107752,-485.47153868437823,662.3477776054558,52.7777272994784,-0.1465353271006273,-2.744696187829935,-495.2457232610439
tcn_gpu_stage3,cost_aware_threshold,valid,3.6714177e-05,True,57,1742,90.63709171765028,-257.6397993744548,348.2768910921051,27.68506776424741,-0.1478988515352783,-2.842542655462136,-283.15451819499594
tcn_gpu_stage3,cost_aware_threshold,valid,4.546208e-05,False,55,920,74.8108682132704,-109.12027699422808,183.93114520749847,14.600602969222768,-0.1186089967328566,-1.4586153001613162,-137.76297090241582
tcn_gpu_stage3,cost_aware_threshold,valid,5.7074404e-05,False,49,389,29.61788613055028,-48.15192555171363,77.76981168226392,6.140934457587884,-0.1237838703128885,-1.6257718508157086,-64.8422720333867
tcn_gpu_stage3,RSEP-full,valid,0.0,False,58,5378,355.38480663790466,-719.9933543921657,1075.3781610300705,85.99346234768214,-0.1338775296378143,-2.025954235927014,-720.5740552306527
tcn_gpu_stage3,RSEP-full,valid,8.612347e-06,False,58,2779,179.02037551623738,-376.6604660830829,555.6808415993203,44.38089846528109,-0.1355381310122644,-2.1040089151690964,-377.0366450915829
