model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,VOLATILE_LIQUID,0.9047575927425994,0.5048481003533133,2,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,BALANCED_TRANSITION,131.88614213091964,-385.90162692290335,2593,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,CALM_ILLIQUID,1.3851437395569157,-0.4146750606965427,9,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,CALM_LIQUID,54.286514060861506,-158.79931763358255,1066,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,CHOPPY_MEAN_REVERTING,9.979641798905456,-26.216226709164573,181,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,LIQUIDITY_DROUGHT,0.030595319010918554,-1.3692487140505527,7,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,MILD_LIQUIDITY_STRESS,9.01618410015555,-21.904101851996558,155,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,MOMENTUM_TOXIC,2.5286907655762425,-7.070126715823086,48,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,SHOCK_RECOVERY,44.55271420491232,-141.9940172165295,933,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,UNKNOWN,17.76358656723399,-69.99994054273552,439,1.1165357e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_RSEP-full_tuned,VOLATILE_ILLIQUID,0.3023618116167874,-0.4976078420454537,4,1.1165357e-05
